ID,지역코드,기간코드,인허가일자,지번주소
160,111123,17,19990922,서울특별시 종로구 청진동 92번지 지상10층
161,111123,17,20050728,서울특별시 종로구 종로6가 252-1번지 외2필지 지상4층
162,111123,17,20050418,서울특별시 종로구 종로3가 6번지 지상4층
163,111123,17,19740410,서울특별시 종로구 종로6가 289-0번지
164,111123,17,19740409,서울특별시 종로구 관훈동 28-0번지
165,111123,17,19740409,서울특별시 종로구 서린동 149-0번지
166,111123,17,19740330,서울특별시 종로구 교남동 71-1번지
167,111123,17,20050309,서울특별시 종로구 신문로1가 25번지 지하1층
168,111123,17,20040904,서울특별시 종로구 종로5가 231-9번지 지상2층
169,111123,17,20040812,서울특별시 종로구 신문로1가 29번지
170,111123,17,20040624,서울특별시 종로구 낙원동 132-2번지 지상2층
171,111123,17,20040618,서울특별시 종로구 내수동 4번지 지상1층
172,111123,17,20040615,서울특별시 종로구 청진동 206-5번지
173,111123,17,19740215,서울특별시 종로구 관수동 147-2번지
174,111123,17,19740208,서울특별시 종로구 종로5가 42-1번지 (지상12층)
175,111123,17,19740201,서울특별시 종로구 관수동 13-2번지
176,111123,17,19740128,서울특별시 종로구 무악동 66-3번지
177,111123,17,19740128,서울특별시 종로구 관수동 145-1번지
178,111123,17,19731211,서울특별시 종로구 평창동 108-2번지
179,111123,17,19731201,서울특별시 종로구 익선동 99-0번지
180,111123,17,19731121,서울특별시 종로구 관철동 12-1번지 (지상4층)
181,111123,17,19731018,서울특별시 종로구 원남동 189-1번지
182,111123,17,19731015,서울특별시 종로구 견지동 110-53번지
183,111123,17,19731011,서울특별시 종로구 연건동 195-11번지
184,111123,17,19730901,서울특별시 종로구 견지동 85-18번지  동  호
185,111123,17,19730330,서울특별시 종로구 관철동 13-13번지
186,111123,17,19730303,서울특별시 종로구 청진동 182-2번지
187,111123,17,20021212,서울특별시 종로구 당주동 2-3번지
188,111123,17,20021211,서울특별시 종로구 당주동 2-3번지
189,111123,17,20021209,서울특별시 종로구 당주동 170-2번지
190,111123,17,20021031,서울특별시 종로구 종로6가 242-1번지 지하1층
191,111123,17,19990907,서울특별시 종로구 관훈동 198-42번지 지하1층
192,111123,17,19990828,서울특별시 종로구 신문로1가 8-1번지
193,111123,17,19990827,서울특별시 종로구 와룡동 116-1번지 지상1층
