ID,기간코드,지역코드,계 20년이상,단독주택 20년이상,아파트 20년이상,20년~30년미만5,다세대주택 20년이상,비거주용 건물내 주택 20년이상,계 30년이상,단독주택 30년이상,아파트 30년이상,연립주택 30년이상,다세대주택 30년이상,비거주용 건물내 주택 30년이상
43,18,111231,"24,930","6,951","15,553",294,"1,798",334,"25,880","6,497","17,115",829,821,618
44,18,111241,"35,265","6,299","19,038","2,948","6,627",353,"13,897","6,635","3,615","1,080","2,136",431
45,18,111251,"37,729","9,361","10,989","4,050","12,753",576,"15,871","7,871","3,376","1,314","2,814",496
46,18,111262,"22,990","2,557","11,458","3,413","4,902",660,"30,763","2,862","24,525","1,404","1,657",315
47,18,111261,"37,886","3,566","26,804","2,627","3,965",924,"44,879","1,893","39,251","1,432","2,058",245
48,18,111273,"44,554","4,693","25,955","3,637","9,403",866,"36,263","3,120","29,690",420,"2,546",487
49,18,111274,"18,438","5,087","8,151","1,932","2,803",465,"26,818","4,461","18,261","1,198","2,464",434
50,19,111123,"13,449","2,555","3,596","2,357","4,653",288,"12,507","8,451","1,213","1,731",696,416
51,19,111121,"7,847","1,571","3,344","1,028","1,651",253,"7,119","3,953","1,860",325,562,419
52,19,111131,"15,927","4,159","5,868","1,675","4,051",174,"21,541","9,339","8,421",795,"2,543",443
53,19,111142,"22,786","4,592","13,991",456,"3,383",364,"13,377","5,650","5,203","1,298",667,559
54,19,111141,"27,708","7,285","14,111","1,865","3,906",541,"14,134","6,137","4,956","1,468",918,655
55,19,111152,"17,418","6,777","6,944",628,"2,582",487,"18,300","10,728","4,052","1,498","1,229",793
56,19,111151,"41,673","9,512","26,748","1,773","3,025",615,"13,323","7,193","2,301","2,088","1,109",632
57,19,111161,"35,825","7,591","18,017","3,510","6,263",444,"18,587","13,554","1,761","1,622","1,074",576
58,19,111291,"32,324","7,324","11,262","1,849","11,522",367,"15,064","9,219",30,"1,761","3,544",510
59,19,111171,"46,631","4,139","31,575","1,933","8,676",308,"22,802","3,910","15,849","1,385","1,364",294
60,19,111311,"78,592","2,191","69,708","1,817","4,596",280,"64,108","3,440","58,908",664,874,222
61,19,111181,"31,213","6,048","5,603","3,594","15,480",488,"16,761","7,520","2,800","1,366","4,552",523
62,19,111191,"28,803","4,399","15,313","2,363","6,408",320,"16,597","7,427","4,030","1,700","2,985",455
63,19,111201,"26,812","5,075","11,746","1,454","7,900",637,"15,680","5,276","5,099","1,226","3,627",452
64,19,111301,"29,242","4,013","15,472","1,591","7,866",300,"42,626","3,109","30,720","1,927","6,487",383
65,19,111212,"70,036","4,597","53,521","1,842","9,592",484,"10,898","4,400","1,850","2,102","2,100",446
66,19,111221,"34,711","5,125","21,344","1,791","6,204",247,"23,250","5,940","10,370","4,619","1,886",435
67,19,111281,"14,582","3,191","7,859","1,123","2,292",117,"12,166","5,195","3,558","2,199",935,279
68,19,111231,"26,106","6,255","17,408",282,"1,871",290,"27,330","6,935","18,032",852,867,644
69,19,111241,"35,119","5,367","20,040","2,932","6,460",320,"14,869","7,263","3,615","1,126","2,408",457
70,19,111251,"37,779","8,423","12,307","4,133","12,384",532,"16,167","8,594","2,508","1,355","3,169",541
71,19,111262,"21,420","2,289","10,763","3,274","4,534",560,"29,391","3,048","22,292","1,516","2,123",412
72,19,111261,"40,242","3,305","30,111","2,490","3,530",806,"40,192","2,071","33,974","1,386","2,414",347
73,19,111273,"35,284","3,837","18,569","3,319","8,872",687,"43,334","3,784","35,214",772,"2,912",652
74,19,111274,"19,708","4,123","10,557","1,882","2,782",364,"20,878","5,144","11,719","1,027","2,463",525
