ID,주소,파출소명
232,종로구 옥인동 45-16,옥인파출소
233,종로구 종로2가동39-3,종로2가지구대
234,종로구 궁정동 12-1,청운파출소
235,종로구 수송동 146-2,청진파출소
236,종로구 통의동 35-66,통의파출소
237,종로구 평창동 232,평창파출소
238,종로구 동숭동 201-10,대학로파출소
239,종로구 창신2동 594-8호,덕산파출소
240,종로구 숭인동 242-7호,동묘파출소
241,종로구 명륜1가 14-1,명륜파출소
242,종로구 인의동 48-57,서울혜화경찰서
243,종로구 종로5가 138-1,종로5가파출소
244,종로구 창신3동 23-373호,창신파출소
245,종로구 혜화동 93-1,혜화파출소
246,종로구 충신동 105번지,효제파출소
247,종로구 내자동 20-11,서울청
248,중구 남창동 51-1,남대문파출소
249,중구 명동2가 50-13,명동파출소
250,중구 서소문동 24,서소문파출소
251,중구 남대문로5가 561,서울남대문경찰서
252,중구 봉래동 2가 122,서울역파출소
253,중구 중림동 203,중림파출소
254,중구 다동 48,태평로파출소
255,중구 회현동1가 194-15,회현파출소
256,중구 태평로 1가 68,세종로파출소
257,중구 신당동 250-10,광희지구대
258,중구 저동2가 62-1,서울중부경찰서
259,중구 신당5동 100-1,신당파출소
260,중구 신당3동 844-3,약수지구대
261,중구 을3가 291-50,을지로3가파출소
262,중구 을지5가 72-2,을지지구대
263,중구 장충2가 196-2,장충파출소
264,중구 필동1가 20-5,충무파출소
265,중랑구 망우본동 489-7,망우지구대
266,중랑구 묵1동 120,먹골파출소
267,중랑구 면목본동 71-24,면목본동파출소
268,중랑구 면목3.8동 1508-3,면목삼팔파출소
269,중랑구 신내2동 644-3,봉화지구대
270,중랑구 면목2동 198-1,상봉파출소
271,중랑구 묵2동 249-2,서울중랑경찰서
272,중랑구 면목5동 168-1,용마지구대
273,중랑구 중화2동 326-114,중화지구대
